-465.565	-465.565	0.485	10912210CytbX_Mono_ESMFold_docked19_0195
-465.532	-465.532	0.518	10912199CytbX_Mono_ESMFold_docked8_0045
-465.528	-465.528	0.439	10912217CytbX_Mono_ESMFold_docked26_0117
-465.521	-465.521	0.496	10912197CytbX_Mono_ESMFold_docked6_0063
-465.515	-465.515	0.430	10912205CytbX_Mono_ESMFold_docked14_0410
-465.514	-465.514	0.487	10912217CytbX_Mono_ESMFold_docked26_0231
-465.504	-465.504	0.486	10912208CytbX_Mono_ESMFold_docked17_0053
-465.494	-465.494	0.478	10912209CytbX_Mono_ESMFold_docked18_0294
-465.491	-465.491	0.492	10912215CytbX_Mono_ESMFold_docked24_0253
-465.421	-465.421	0.492	10912202CytbX_Mono_ESMFold_docked11_0251
-465.416	-465.416	0.475	10912205CytbX_Mono_ESMFold_docked14_0414
-465.408	-465.408	0.485	10912217CytbX_Mono_ESMFold_docked26_0352
-465.384	-465.384	0.470	10912217CytbX_Mono_ESMFold_docked26_0432
-465.358	-465.358	0.489	10912193CytbX_Mono_ESMFold_docked2_0288
-465.352	-465.352	0.490	10912215CytbX_Mono_ESMFold_docked24_0235
-465.335	-465.335	0.444	10912205CytbX_Mono_ESMFold_docked14_0479
-465.325	-465.325	0.474	10912205CytbX_Mono_ESMFold_docked14_0202
-465.319	-465.319	0.484	10912212CytbX_Mono_ESMFold_docked21_0481
-465.302	-465.302	0.452	10912200CytbX_Mono_ESMFold_docked9_0343
-465.287	-465.287	0.503	10912194CytbX_Mono_ESMFold_docked3_0106
-465.252	-465.252	0.457	10912197CytbX_Mono_ESMFold_docked6_0421
-465.249	-465.249	0.464	10912205CytbX_Mono_ESMFold_docked14_0382
-465.237	-465.237	0.474	10912215CytbX_Mono_ESMFold_docked24_0210
-465.234	-465.234	0.471	10912193CytbX_Mono_ESMFold_docked2_0301
-465.211	-465.211	0.474	10912218CytbX_Mono_ESMFold_docked27_0423
-465.204	-465.204	0.479	10912210CytbX_Mono_ESMFold_docked19_0211
-465.198	-465.198	0.457	10912194CytbX_Mono_ESMFold_docked3_0361
-465.174	-465.174	0.456	10912218CytbX_Mono_ESMFold_docked27_0275
-465.169	-465.169	0.489	10912191CytbX_Mono_ESMFold_docked28_0173
-465.165	-465.165	0.495	10912213CytbX_Mono_ESMFold_docked22_0403
-465.134	-465.134	0.476	10912205CytbX_Mono_ESMFold_docked14_0386
-465.117	-465.117	0.434	10912215CytbX_Mono_ESMFold_docked24_0223
-465.115	-465.115	0.511	10912207CytbX_Mono_ESMFold_docked16_0148
-465.114	-465.114	0.521	10912202CytbX_Mono_ESMFold_docked11_0104
-465.111	-465.111	0.440	10912198CytbX_Mono_ESMFold_docked7_0113
-465.087	-465.087	0.462	10912212CytbX_Mono_ESMFold_docked21_0354
-465.085	-465.085	0.484	10912212CytbX_Mono_ESMFold_docked21_0129
-465.056	-465.056	0.467	10912194CytbX_Mono_ESMFold_docked3_0262
-465.055	-465.055	0.478	10912201CytbX_Mono_ESMFold_docked10_0167
-465.050	-465.050	0.513	10912207CytbX_Mono_ESMFold_docked16_0231
-465.042	-465.042	0.484	10912200CytbX_Mono_ESMFold_docked9_0393
-465.039	-465.039	0.494	10912201CytbX_Mono_ESMFold_docked10_0421
-465.036	-465.036	0.523	10912202CytbX_Mono_ESMFold_docked11_0004
-465.035	-465.035	0.480	10912198CytbX_Mono_ESMFold_docked7_0402
-465.022	-465.022	0.458	10912215CytbX_Mono_ESMFold_docked24_0428
-465.018	-465.018	0.473	10912193CytbX_Mono_ESMFold_docked2_0123
-464.993	-464.993	0.469	10912213CytbX_Mono_ESMFold_docked22_0075
-464.992	-464.992	0.490	10912207CytbX_Mono_ESMFold_docked16_0315
-464.985	-464.985	0.473	10912207CytbX_Mono_ESMFold_docked16_0015
-464.969	-464.969	0.441	10912208CytbX_Mono_ESMFold_docked17_0171
-464.953	-464.953	0.493	10912195CytbX_Mono_ESMFold_docked4_0349
-464.950	-464.950	0.492	10912212CytbX_Mono_ESMFold_docked21_0102
-464.944	-464.944	0.501	10912196CytbX_Mono_ESMFold_docked5_0260
-464.911	-464.911	0.513	10912206CytbX_Mono_ESMFold_docked15_0137
-464.904	-464.904	0.489	10912215CytbX_Mono_ESMFold_docked24_0433
-464.879	-464.879	0.445	10912200CytbX_Mono_ESMFold_docked9_0170
-464.878	-464.878	0.496	10912197CytbX_Mono_ESMFold_docked6_0472
-464.875	-464.875	0.451	10912210CytbX_Mono_ESMFold_docked19_0265
-464.865	-464.865	0.468	10912198CytbX_Mono_ESMFold_docked7_0201
-464.860	-464.860	0.462	10912197CytbX_Mono_ESMFold_docked6_0250
-464.853	-464.853	0.467	10912202CytbX_Mono_ESMFold_docked11_0252
-464.851	-464.851	0.480	10912194CytbX_Mono_ESMFold_docked3_0215
-464.816	-464.816	0.498	10912194CytbX_Mono_ESMFold_docked3_0224
-464.815	-464.815	0.489	10912213CytbX_Mono_ESMFold_docked22_0048
-464.805	-464.805	0.494	10912211CytbX_Mono_ESMFold_docked20_0468
-464.804	-464.804	0.482	10912218CytbX_Mono_ESMFold_docked27_0261
-464.795	-464.795	0.474	10912203CytbX_Mono_ESMFold_docked12_0358
-464.784	-464.784	0.463	10912212CytbX_Mono_ESMFold_docked21_0077
-464.779	-464.779	0.516	10912214CytbX_Mono_ESMFold_docked23_0140
