-477.497	1.023	0.587	10918652CytbX_Rosetta_Monoheme27_flexV1KIH_0152
-477.045	1.065	0.546	10938018CytbX_Rosetta_Monoheme213_flexV1KIH_0256
-475.719	0.960	0.597	10936424CytbX_Rosetta_Monoheme228_flexV1KIH_0114
-475.660	0.960	0.614	10938017CytbX_Rosetta_Monoheme212_flexV1KIH_0493
-475.584	0.953	0.615	10938032CytbX_Rosetta_Monoheme227_flexV1KIH_0280
-475.374	0.959	0.630	10938027CytbX_Rosetta_Monoheme222_flexV1KIH_0320
-475.136	1.020	0.594	10938018CytbX_Rosetta_Monoheme213_flexV1KIH_0235
-474.967	0.936	0.583	10936424CytbX_Rosetta_Monoheme228_flexV1KIH_0366
-474.814	0.950	0.613	10938016CytbX_Rosetta_Monoheme211_flexV1KIH_0155
-474.723	1.061	0.560	10938008CytbX_Rosetta_Monoheme23_flexV1KIH_0325
-474.707	0.953	0.607	10938017CytbX_Rosetta_Monoheme212_flexV1KIH_0345
-474.557	0.943	0.553	10938023CytbX_Rosetta_Monoheme218_flexV1KIH_0313
-474.181	0.985	0.568	10938009CytbX_Rosetta_Monoheme24_flexV1KIH_0011
-474.021	0.911	0.607	10938008CytbX_Rosetta_Monoheme23_flexV1KIH_0454
-473.920	0.878	0.606	10938017CytbX_Rosetta_Monoheme212_flexV1KIH_0123
-473.901	0.877	0.628	10938013CytbX_Rosetta_Monoheme28_flexV1KIH_0184
-473.890	0.916	0.614	10938010CytbX_Rosetta_Monoheme25_flexV1KIH_0013
-473.769	1.000	0.557	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0199
-473.675	0.875	0.617	10938020CytbX_Rosetta_Monoheme215_flexV1KIH_0428
-473.665	0.901	0.613	10938014CytbX_Rosetta_Monoheme29_flexV1KIH_0432
-473.637	1.010	0.593	10918654CytbX_Rosetta_Monoheme29_flexV1KIH_0154
-473.547	0.969	0.570	10938006CytbX_Rosetta_Monoheme21_flexV1KIH_0251
-473.395	0.996	0.598	10938015CytbX_Rosetta_Monoheme210_flexV1KIH_0222
-473.368	0.859	0.622	10938022CytbX_Rosetta_Monoheme217_flexV1KIH_0175
-473.367	0.905	0.605	10938017CytbX_Rosetta_Monoheme212_flexV1KIH_0283
-473.346	1.002	0.577	10938022CytbX_Rosetta_Monoheme217_flexV1KIH_0433
-473.313	0.999	0.579	10938028CytbX_Rosetta_Monoheme223_flexV1KIH_0067
-473.253	0.942	0.610	10936424CytbX_Rosetta_Monoheme228_flexV1KIH_0329
-473.158	0.903	0.605	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0212
-473.156	0.907	0.592	10938029CytbX_Rosetta_Monoheme224_flexV1KIH_0444
-473.124	0.910	0.607	10938030CytbX_Rosetta_Monoheme225_flexV1KIH_0181
-472.954	0.655	0.610	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0052
-472.869	0.845	0.589	10938010CytbX_Rosetta_Monoheme25_flexV1KIH_0242
-472.703	0.875	0.605	10938008CytbX_Rosetta_Monoheme23_flexV1KIH_0364
-472.664	0.917	0.563	10938010CytbX_Rosetta_Monoheme25_flexV1KIH_0146
-472.537	0.916	0.578	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0221
-472.485	0.728	0.599	10918653CytbX_Rosetta_Monoheme28_flexV1KIH_0044
-472.449	0.941	0.591	10938015CytbX_Rosetta_Monoheme210_flexV1KIH_0317
-472.280	0.991	0.548	10938027CytbX_Rosetta_Monoheme222_flexV1KIH_0200
-472.227	0.657	0.591	10938030CytbX_Rosetta_Monoheme225_flexV1KIH_0045
-472.200	0.904	0.603	10938015CytbX_Rosetta_Monoheme210_flexV1KIH_0472
-472.106	0.654	0.583	10918657CytbX_Rosetta_Monoheme212_flexV1KIH_0091
-472.092	0.655	0.605	10938024CytbX_Rosetta_Monoheme219_flexV1KIH_0095
-472.088	1.002	0.577	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0085
-472.079	0.641	0.589	10918655CytbX_Rosetta_Monoheme210_flexV1KIH_0209
-472.074	1.045	0.592	10938030CytbX_Rosetta_Monoheme225_flexV1KIH_0327
-472.042	0.994	0.583	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0417
-472.038	0.671	0.578	10938013CytbX_Rosetta_Monoheme28_flexV1KIH_0245
-472.026	0.623	0.598	10938022CytbX_Rosetta_Monoheme217_flexV1KIH_0169
-471.979	1.026	0.545	10918654CytbX_Rosetta_Monoheme29_flexV1KIH_0155
-471.977	0.940	0.575	10918657CytbX_Rosetta_Monoheme212_flexV1KIH_0011
-471.957	0.668	0.582	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0462
-471.944	0.660	0.594	10918652CytbX_Rosetta_Monoheme27_flexV1KIH_0018
-471.944	0.660	0.608	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0163
-471.917	0.933	0.547	10938013CytbX_Rosetta_Monoheme28_flexV1KIH_0116
